# https://talktomeinkorean.com/curriculum/level-1-korean-grammar/
# TTMIK Level 1 Lesson 1
존댓말 [jon-daen-mal];formal/polite Korean
How big is it?;얼마나 커요? [eol-ma-na keo-yo?]
# TTMIK Level 1 Lesson 25
서울에서 [seo-u-re-seo];(from Seoul to another place)
(from Seoul to another place);서울에서 [seo-u-re-seo]
지금부터 [ji-geum-bu-teo];From now
From now;지금부터 [ji-geum-bu-teo]
어제부터 [eo-je-bu-teo];From (or since) yesterday
From (or since) yesterday;어제부터 [eo-je-bu-teo]
서울까지 [seo-ul-kka-ji];(From somewhere else) to Seoul
(From somewhere else) to Seoul;서울까지 [seo-ul-kka-ji]
지금까지 [ji-geum-kka-ji];Until now
Until now;지금까지 [ji-geum-kka-ji]
내일까지 [nae-il-kka-ji];Until tomorrow
Until tomorrow;내일까지 [nae-il-kka-ji]
서울에서 부산까지 [seo-ul-e-seo bu-san-kka-ji];From Seoul to Busan
From Seoul to Busan;서울에서 부산까지 [seo-ul-e-seo bu-san-kka-ji]
아침부터 저녁까지 [a-chim-bu-teo jeo-nyeok-kka-ji];From morning until evening
From morning until evening;아침부터 저녁까지 [a-chim-bu-teo jeo-nyeok-kka-ji]
이 책은 처음부터 끝까지 정말 재밌어요. [i chaek-eun cheo-eum-bu-teo kkeut-kka-ji jeong-mal jae-mi-sseo-yo.];This book, it is really interesting from the beginning to the end.
This book, it is really interesting from the beginning to the end.;이 책은 처음부터 끝까지 정말 재밌어요. [i chaek-eun cheo-eum-bu-teo kkeut-kka-ji jeong-mal jae-mi-sseo-yo.]
언제 읽었어요? [eon-je il-geo-sseo-yo?];When did you read it?
When did you read it?;언제 읽었어요? [eon-je il-geo-sseo-yo?]
주말에 읽었어요. [ju-mal-e il-geo-sseo-yo.];I read it over the weekend.
I read it over the weekend.;주말에 읽었어요. [ju-mal-e il-geo-sseo-yo.]
어디에서 읽었어요? [eo-di-e-seo il-geo-sseo-yo?];Where did you read it?
Where did you read it?;어디에서 읽었어요? [eo-di-e-seo il-geo-sseo-yo?]
집에서 읽었어요. [jip-e-seo il-geo-sseo-yo.];I read it at home.
I read it at home.;집에서 읽었어요. [jip-e-seo il-geo-sseo-yo.]
# TTMIK Level 1 Summary Test
선물 [seon-mul];present, gift
present, gift;선물 [seon-mul]
생일 [saeng-il];birthday
birthday;생일 [saeng-il]
잔 [jan];cup
cup;잔 [jan]
다른 [da-reun];different
different;다른 [da-reun]
기다리다 [gi-da-ri-da];to wait
to wait;기다리다 [gi-da-ri-da]
누구 기다려요? [nu-gu gi-da-ryeo-yo?];Whom are you waiting for?
Whom are you waiting for?;누구 기다려요? [nu-gu gi-da-ryeo-yo?]
왜 기다렸어요? [wae gi-da-ryeo-sseo-yo?];Why did you wait?
Why did you wait?;왜 기다렸어요? [wae gi-da-ryeo-sseo-yo?]
안 기다렸어요 [an gi-da-ryeo-sseo-yo];I didn’t wait.
I didn’t wait.;안 기다렸어요 [an gi-da-ryeo-sseo-yo]
운동 [un-dong];exercise
exercise;운동 [un-dong]
언제 운동해요? [eon-je un-dong-hae-yo?];When do you exercise?
When do you exercise?;언제 운동해요? [eon-je un-dong-hae-yo?]
어디에서 운동해요? [eo-di-e-seo un-dong-hae-yo?];Where do you exercise?
Where do you exercise?;어디에서 운동해요? [eo-di-e-seo un-dong-hae-yo?]
공원 [gong-won];park
park;공원 [gong-won]
공원에서 운동해요. [gong-won-e-seo un-dong-hae-yo.];I exercise in the park.
I exercise in the park.;공원에서 운동해요. [gong-won-e-seo un-dong-hae-yo.]
백오십구 [baek-o-ship-gu];159 (Sino-Korean)
159 (Sino-Korean);백오십구 [baek-o-ship-gu]
천이백이십오 [cheon-i-baek-i-ship-o];1225 (Sino-Korean)
1225 (Sino-Korean);천이백이십오 [cheon-i-baek-i-ship-o]
민아: 민수 씨 안녕하세요. [Mina: Min-su ssi an-nyeong-ha-se-yo.];Mina: Minsu, hello.
Mina: Minsu, hello.;민아: 민수 씨 안녕하세요. [Mina: Min-su ssi an-nyeong-ha-se-yo.]
민수: 아, 네, 민아 씨, 안녕하세요! 이거 뭐예요? [Min-su: A, ne, Mina ssi, an-nyeong-ha-se-yo! I-geo mwo-ye-yo?];Minsu: Oh, hi, Mina. Hi. What is this?
Minsu: Oh, hi, Mina. Hi. What is this?;민수: 아, 네, 민아 씨, 안녕하세요! 이거 뭐예요? [Min-su: A, ne, Mina ssi, an-nyeong-ha-se-yo! I-geo mwo-ye-yo?]
민아: 이거요? 이거 선물이에요. [Mina: I-geo-yo? I-geo seon-mul-i-e-yo.];Mina: This? This is a present.
Mina: This? This is a present.;민아: 이거요? 이거 선물이에요. [Mina: I-geo-yo? I-geo seon-mul-i-e-yo.]
민수: 선물이요? 우와. 감사합니다. [Min-su: Seon-mul-i-yo? U-wa. Kam-sa-ham-ni-da.];Minsu: A present? Wow. Thank you.
Minsu: A present? Wow. Thank you.;민수: 선물이요? 우와. 감사합니다. [Min-su: Seon-mul-i-yo? U-wa. Kam-sa-ham-ni-da.]
민아: 아니요, 민수 씨 선물 아니에요. 다른 사람 선물이에요. [Mina: A-ni-yo, Min-su ssi seon-mul a-ni-e-yo. Da-reun sa-ram seon-mul-i-e-yo.];Mina: No, it’s not a present for you, Minsu. It’s a present for someone else.
Mina: No, it’s not a present for you, Minsu. It’s a present for someone else.;민아: 아니요, 민수 씨 선물 아니에요. 다른 사람 선물이에요. [Mina: A-ni-yo, Min-su ssi seon-mul a-ni-e-yo. Da-reun sa-ram seon-mul-i-e-yo.]
민수: 다른 사람이요? 누구요? [Min-su: Da-reun sa-ram-i-yo? Nu-gu-yo?];Minsu: Someone else? Who?
Minsu: Someone else? Who?;민수: 다른 사람이요? 누구요? [Min-su: Da-reun sa-ram-i-yo? Nu-gu-yo?]
민아: 오늘 현주 씨 생일이에요. [Mina: O-neul Hyeon-ju ssi saeng-il-i-e-yo.];Mina: Today is Hyeonju’s birthday.
Mina: Today is Hyeonju’s birthday.;민아: 오늘 현주 씨 생일이에요. [Mina: O-neul Hyeon-ju ssi saeng-il-i-e-yo.]
민수: 정말요? 몰랐어요. [Min-su: Jeong-mal-yo? Mol-la-sseo-yo.];Minsu: Really? I didn’t know.
Minsu: Really? I didn’t know.;민수: 정말요? 몰랐어요. [Min-su: Jeong-mal-yo? Mol-la-sseo-yo.]
민아: 어, 저기, 현주 씨 왔어요. [Mina: Eo, jeo-gi, Hyeon-ju ssi wa-sseo-yo.];Mina: Oh, there, Hyeonju came.
Mina: Oh, there, Hyeonju came.;민아: 어, 저기, 현주 씨 왔어요. [Mina: Eo, jeo-gi, Hyeon-ju ssi wa-sseo-yo.]
현주: 민아 씨, 민수 씨, 안녕하세요! [Hyeon-ju: Mina ssi, Min-su ssi, an-nyeong-ha-se-yo!];Hyeonju: Mina, Minsu, hi!
Hyeonju: Mina, Minsu, hi!;현주: 민아 씨, 민수 씨, 안녕하세요! [Hyeon-ju: Mina ssi, Min-su ssi, an-nyeong-ha-se-yo!]
민아: 생일 축하해요. 선물이에요. [Mina: Saeng-il chuk-ha-hae-yo. Seon-mul-i-e-yo.];Mina: Happy birthday. It’s a present.
Mina: Happy birthday. It’s a present.;민아: 생일 축하해요. 선물이에요. [Mina: Saeng-il chuk-ha-hae-yo. Seon-mul-i-e-yo.]
현주: 우와. 감사합니다. [Hyeon-ju: U-wa. Kam-sa-ham-ni-da.];Hyeonju: Wow. Thank you.
Hyeonju: Wow. Thank you.;현주: 우와. 감사합니다. [Hyeon-ju: U-wa. Kam-sa-ham-ni-da.]
민수: 현주 씨, 생일 축하해요. 저는... 선물이 없어요. 생일을 몰랐어요. [Min-su: Hyeon-ju ssi, saeng-il chuk-ha-hae-yo. Jeo-neun... seon-mul-i eob-seo-yo. Saeng-il-eul mol-la-sseo-yo.];Minsu: Hyeonju, happy birthday. I... don’t have a present. I didn’t know your birthday.
Minsu: Hyeonju, happy birthday. I... don’t have a present. I didn’t know your birthday.;민수: 현주 씨, 생일 축하해요. 저는... 선물이 없어요. 생일을 몰랐어요. [Min-su: Hyeon-ju ssi, saeng-il chuk-ha-hae-yo. Jeo-neun... seon-mul-i eob-seo-yo. Saeng-il-eul mol-la-sseo-yo.]
현주: 괜찮아요. 감사합니다. [Hyeon-ju: Gwaen-chanh-a-yo. Kam-sa-ham-ni-da.];Hyeonju: It’s okay. Thank you.
Hyeonju: It’s okay. Thank you.;현주: 괜찮아요. 감사합니다. [Hyeon-ju: Gwaen-chanh-a-yo. Kam-sa-ham-ni-da.]
민아: 민수 씨는 언제까지 시간 있어요? [Mina: Min-su ssi-neun eon-je-kka-ji si-gan is-seo-yo?];Mina: Minsu, until when do you have time?
Mina: Minsu, until when do you have time?;민아: 민수 씨는 언제까지 시간 있어요? [Mina: Min-su ssi-neun eon-je-kka-ji si-gan is-seo-yo?]
민수: 저요? 저는 일곱 시까지 시간 있어요. [Min-su: Jeo-yo? Jeo-neun il-gop si-kka-ji si-gan is-seo-yo.];Minsu: Me? I have time until 7 o’clock.
Minsu: Me? I have time until 7 o’clock.;민수: 저요? 저는 일곱 시까지 시간 있어요. [Min-su: Jeo-yo? Jeo-neun il-gop si-kka-ji si-gan is-seo-yo.]
민아: 좋아요. 현주 씨, 뭐 하고 싶어요? [Mina: Jo-a-yo. Hyeon-ju ssi, mwo ha-go sip-eo-yo?];Mina: Good. Hyeonju, what do you want to do?
Mina: Good. Hyeonju, what do you want to do?;민아: 좋아요. 현주 씨, 뭐 하고 싶어요? [Mina: Jo-a-yo. Hyeon-ju ssi, mwo ha-go sip-eo-yo?]
현주: 저요? 글쎄요... [Hyeon-ju: Jeo-yo? Geul-sse-yo...];Hyeonju: Me? Well...
Hyeonju: Me? Well...;현주: 저요? 글쎄요... [Hyeon-ju: Jeo-yo? Geul-sse-yo...]
민아: 민수 씨, 배고파요? 저는 피자 먹고 싶어요. [Mina: Min-su ssi, bae-go-pa-yo? Jeo-neun pi-ja meok-go sip-eo-yo.];Mina: Minsu, are you hungry? I want to have pizza.
Mina: Minsu, are you hungry? I want to have pizza.;민아: 민수 씨, 배고파요? 저는 피자 먹고 싶어요. [Mina: Min-su ssi, bae-go-pa-yo? Jeo-neun pi-ja meok-go sip-eo-yo.]
민수: 네? 네... 저기... 현주 씨는요? 피자 먹고 싶어요? [Min-su: Ne? Ne... Jeo-gi... Hyeon-ju ssi-neun-yo? Pi-ja meok-go sip-eo-yo?];Minsu: What? I see... um... Hyeonju, how about you? Do you want to have pizza?
Minsu: What? I see... um... Hyeonju, how about you? Do you want to have pizza?;민수: 네? 네... 저기... 현주 씨는요? 피자 먹고 싶어요? [Min-su: Ne? Ne... Jeo-gi... Hyeon-ju ssi-neun-yo? Pi-ja meok-go sip-eo-yo?]
현주: 네. 저도 피자 좋아요. [Hyeon-ju: Ne. Jeo-do pi-ja jo-a-yo.];Hyeonju: Yeah... I like pizza too.
Hyeonju: Yeah... I like pizza too.;현주: 네. 저도 피자 좋아요. [Hyeon-ju: Ne. Jeo-do pi-ja jo-a-yo.]
민수: 저기요. 김치 불고기 치즈 피자 하나 주세요. [Min-su: Jeo-gi-yo. Kim-chi bul-go-gi chi-jeu pi-ja ha-na ju-se-yo.];Minsu: Excuse me. Give us one kimchi bulgogi cheese pizza.
Minsu: Excuse me. Give us one kimchi bulgogi cheese pizza.;민수: 저기요. 김치 불고기 치즈 피자 하나 주세요. [Min-su: Jeo-gi-yo. Kim-chi bul-go-gi chi-jeu pi-ja ha-na ju-se-yo.]
민아: 김치 불고기 치즈 피자요? [Mina: Kim-chi bul-go-gi chi-jeu pi-ja-yo?];Mina: Kimchi bulgogi cheese pizza?
Mina: Kimchi bulgogi cheese pizza?;민아: 김치 불고기 치즈 피자요? [Mina: Kim-chi bul-go-gi chi-jeu pi-ja-yo?]
민수: 맛있어요! 아, 저기요! 콜라 세 잔 주세요. [Min-su: Ma-sis-seo-yo! Ah, jeo-gi-yo! Ko-la se jan ju-se-yo.];Minsu: It’s delicious! Oh, excuse me! Give us three cups of cola.
Minsu: It’s delicious! Oh, excuse me! Give us three cups of cola.;민수: 맛있어요! 아, 저기요! 콜라 세 잔 주세요. [Min-su: Ma-sis-seo-yo! Ah, jeo-gi-yo! Ko-la se jan ju-se-yo.]
민아: 저는 콜라 안 마시고 싶어요. 저는 맥주 주세요. [Mina: Jeo-neun ko-la an ma-si-go sip-eo-yo. Jeo-neun maek-ju ju-se-yo.];Mina: I don’t want to drink cola. Give me beer.
Mina: I don’t want to drink cola. Give me beer.;민아: 저는 콜라 안 마시고 싶어요. 저는 맥주 주세요. [Mina: Jeo-neun ko-la an ma-si-go sip-eo-yo. Jeo-neun maek-ju ju-se-yo.]
민수: 여기 맥주 없어요. [Min-su: Yeogi maek-ju eob-seo-yo.];Minsu: There is no beer here.
Minsu: There is no beer here.;민수: 여기 맥주 없어요. [Min-su: Yeogi maek-ju eob-seo-yo.]
민아: 있어요. [Mina: Is-seo-yo.];Mina: There is.
Mina: There is.;민아: 있어요. [Mina: Is-seo-yo.]
현주: 저기요, 여기 맥주 있어요? 네, 맥주 하나 주세요. [Hyeon-ju: Jeo-gi-yo, yeogi maek-ju is-seo-yo? Ne, maek-ju ha-na ju-se-yo.];Hyeonju: Excuse me, do you have beer here? Yes, give us one beer.
Hyeonju: Excuse me, do you have beer here? Yes, give us one beer.;현주: 저기요, 여기 맥주 있어요? 네, 맥주 하나 주세요. [Hyeon-ju: Jeo-gi-yo, yeogi maek-ju is-seo-yo? Ne, maek-ju ha-na ju-se-yo.]
민수: 누가 피자집에서 맥주를 마셔요? [Min-su: Nu-ga pi-ja-jip-e-seo maek-ju-reul ma-syeo-yo?];Minsu: Who drinks beer in a pizza place?
Minsu: Who drinks beer in a pizza place?;민수: 누가 피자집에서 맥주를 마셔요? [Min-su: Nu-ga pi-ja-jip-e-seo maek-ju-reul ma-syeo-yo?]
민아: 왜요? 이상해요? [Mina: Wae-yo? I-sang-hae-yo?];Mina: Why? Is it strange?
Mina: Why? Is it strange?;민아: 왜요? 이상해요? [Mina: Wae-yo? I-sang-hae-yo?]
민수: 아니에요. [Min-su: A-ni-e-yo.];Minsu: No.
Minsu: No.;민수: 아니에요. [Min-su: A-ni-e-yo.]
현주: 피자 나왔어요. [Hyeon-ju: Pi-ja na-was-seo-yo.];Hyeonju: The pizza came out.
Hyeonju: The pizza came out.;현주: 피자 나왔어요. [Hyeon-ju: Pi-ja na-was-seo-yo.]
민아: 맥주는요? [Mina: Maek-ju-neun-yo?];Mina: And beer?
Mina: And beer?;민아: 맥주는요? [Mina: Maek-ju-neun-yo?]
현주: 여기 있어요. [Hyeon-ju: Yeogi is-seo-yo.];Hyeonju: It’s here.
Hyeonju: It’s here.;현주: 여기 있어요. [Hyeon-ju: Yeogi is-seo-yo.]
